ListSizes,TestResult
0,0
1000,2
2000,3
3000,4
4000,6
5000,7
6000,10
7000,10
8000,14
9000,17
10000,18
11000,20
12000,21
13000,21
14000,22
15000,23
16000,27
17000,28
18000,27
19000,29
20000,30
21000,35
22000,36
23000,39
24000,38
25000,41
26000,43
27000,42
28000,43
29000,45
30000,45
31000,48
32000,50
33000,54
34000,52
35000,52
36000,59
37000,58
38000,60
39000,62
40000,66
41000,67
42000,65
43000,66
44000,69
45000,72
46000,68
47000,74
48000,76
49000,72
50000,78
51000,86
52000,83
53000,89
54000,89
55000,91
56000,92
57000,100
58000,95
59000,94
60000,105
61000,105
62000,108
63000,99
64000,99
65000,102
66000,102
67000,109
68000,119
69000,126
70000,117
71000,116
72000,128
73000,129
74000,122
75000,122
76000,118
77000,131
78000,134
79000,131
80000,122
81000,132
82000,139
83000,141
84000,135
85000,136
86000,134
87000,132
88000,132
89000,142
90000,139
91000,138
92000,142
93000,139
94000,152
95000,154
96000,145
97000,158
98000,153
99000,165
100000,158
101000,162
102000,168
103000,176
104000,176
105000,177
106000,163
107000,162
108000,160
109000,169
110000,170
111000,174
112000,174
113000,175
114000,184
115000,181
116000,182
117000,186
118000,184
119000,192
120000,191
121000,188
122000,190
123000,195
124000,192
125000,202
126000,199
127000,205
128000,204
129000,199
130000,211
131000,223
132000,209
133000,209
134000,215
135000,209
136000,212
137000,212
138000,220
139000,224
140000,213
141000,225
142000,239
143000,245
144000,230
145000,232
146000,228
147000,227
148000,229
149000,234
150000,236
151000,228
152000,245
153000,250
154000,266
155000,279
156000,304
157000,266
158000,241
159000,258
160000,264
161000,242
162000,255
163000,247
164000,262
165000,253
166000,259
167000,257
168000,260
169000,256
170000,270
171000,260
172000,268
173000,265
174000,272
175000,295
176000,410
177000,342
178000,328
179000,299
180000,320
181000,302
182000,304
183000,313
184000,328
185000,310
186000,318
187000,362
188000,346
189000,324
190000,316
191000,328
192000,307
193000,344
194000,358
195000,314
196000,312
197000,322
198000,308
199000,306
